"FirstName","LastName","Jersey","TeamName","TeamAbbreviation","Club","Division","Country","Games","Assists","Goals","Callahans","Total"
"Kara","Adlington","11","Australia","AUS",,"Master Women","Australia","13","3","19","0","22"
"Rainbow","Apostol","5","Australia","AUS",,"Women","Australia","13","1","6","0","7"
"Quinette","Armstrong","37","Australia","AUS",,"Master Women","Australia","13","20","5","0","25"
"Brendan","Ashcroft","17","Australia","AUS",,"Men","Australia","14","16","15","0","31"
"Amy","Barnes","12","Australia","AUS",,"Master Women","Australia","13","12","11","0","23"
"Stephanie","Bengson","17","Australia","AUS",,"Master Women","Australia","13","6","11","0","17"
"Emma","Booth","23","Australia","AUS",,"Master Women","Australia","8","1","4","0","5"
"Tim","Booth","8","Australia","AUS",,"Master Men","Australia","11","22","6","0","28"
"Matt","Borowski","5","Australia","AUS",,"Master Men","Australia","11","3","3","0","6"
"Kellie","Browne","5","Australia","AUS",,"Master Women","Australia","13","22","20","0","42"
"Nathan","Chan","24","Australia","AUS",,"Master Men","Australia","11","6","11","0","17"
"Monica","Chang","9","Australia","AUS",,"Master Women","Australia","13","0","8","0","8"
"Michael","Chirlin","2","Australia","AUS",,"Master Men","Australia","11","18","15","0","33"
"Zac","Chodos","7","Australia","AUS",,"Men","Australia","14","10","7","0","17"
"Will","Christopherson","47","Australia","AUS",,"Master Men","Australia","11","1","4","0","5"
"Rory","Connell","58","Australia","AUS",,"Men","Australia","14","21","14","0","35"
"Gareth","Cook","32","Australia","AUS",,"Master Men","Australia","11","2","6","0","8"
"Jarod","Cowan","3","Australia","AUS",,"Mixed","Australia","12","19","1","0","20"
"Dustin","Czok","69","Australia","AUS",,"Master Men","Australia","11","0","5","0","5"
"Geri","Daube","3","Australia","AUS",,"Master Women","Australia","13","15","4","0","19"
"Tamara","Davis","0","Australia","AUS",,"Master Women","Australia","13","10","15","1","25"
"Alistair","Don","0","Australia","AUS",,"Master Men","Australia","11","13","1","0","14"
"Nick","Dousset","46","Australia","AUS",,"Men","Australia","14","10","8","0","18"
"Alby","Evans","27","Australia","AUS",,"Men","Australia","14","1","6","0","7"
"Colin","Fink","14","Australia","AUS",,"Master Men","Australia","11","0","8","0","8"
"Matthew","Finn","69","Australia","AUS",,"Mixed","Australia","12","4","11","0","15"
"Martin","Forrest","12","Australia","AUS",,"Men","Australia","14","17","4","0","21"
"Amanda","Fung","92","Australia","AUS",,"Women","Australia","13","8","6","0","14"
"Alexander","Gan","10","Australia","AUS",,"Men","Australia","14","10","22","0","32"
"Geoa","Geer","35","Australia","AUS",,"Mixed","Australia","9","3","2","0","5"
"John","Greenfield","22","Australia","AUS",,"Master Men","Australia","11","18","16","0","34"
"Sarah Faridah","Hassan","26","Australia","AUS",,"Mixed","Australia","12","2","6","0","8"
"Tim","Hayes","23","Australia","AUS",,"Mixed","Australia","12","4","17","0","21"
"Ciaran","Hudson","14","Australia","AUS",,"Men","Australia","14","4","2","0","6"
"Minh","Huynh","25","Australia","AUS",,"Master Women","Australia","13","10","4","0","14"
"Ryan","Kelly","17","Australia","AUS",,"Mixed","Australia","12","1","14","0","15"
"Christopher","Khoo","17","Australia","AUS",,"Master Men","Australia","11","6","3","0","9"
"Maria","Krumnow","14","Australia","AUS",,"Master Women","Australia","13","3","15","0","18"
"Caroline","Ma","0","Australia","AUS",,"Women","Australia","13","29","7","0","36"
"Stephanie","Maher","59","Australia","AUS",,"Mixed","Australia","12","1","2","0","3"
"Laura","Manescu","38","Australia","AUS",,"Mixed","Australia","12","10","7","0","17"
"David","McManus","13","Australia","AUS",,"Men","Australia","14","2","4","0","6"
"Lyra","Meehan","14","Australia","AUS",,"Women","Australia","13","20","11","0","31"
"Rachael Lee","Mihatsch","1","Australia","AUS",,"Mixed","Australia","12","3","4","0","7"
"Jane","Moe","90","Australia","AUS",,"Women","Australia","13","5","3","0","8"
"Hannah","Monty","99","Australia","AUS",,"Mixed","Australia","12","11","14","0","25"
"James","Moolenschot","55","Australia","AUS",,"Master Men","Australia","11","3","2","0","5"
"Sabrina","Moro","18","Australia","AUS",,"Master Women","Australia","13","14","1","0","15"
"Kristen","Mortimer","16","Australia","AUS",,"Mixed","Australia","12","2","3","0","5"
"Joel","Moskovic","23","Australia","AUS",,"Men","Australia","14","2","5","0","7"
"Alan","Murray","11","Australia","AUS",,"Master Men","Australia","11","10","19","0","29"
"Kristen","Nott","10","Australia","AUS",,"Women","Australia","13","7","4","0","11"
"Kyal","Oh","3","Australia","AUS",,"Men","Australia","14","13","11","0","24"
"Alex","Pentony Vran","98","Australia","AUS",,"Mixed","Australia","12","6","8","0","14"
"Michaela","Plein","8","Australia","AUS",,"Master Women","Australia","13","4","4","0","8"
"Mary-Jane","Rigby","35","Australia","AUS",,"Master Women","Australia","13","9","6","0","15"
"Neil","Roxburgh","3","Australia","AUS",,"Master Men","Australia","11","2","5","0","7"
"Greg","Schrader","5","Australia","AUS",,"Men","Australia","14","4","8","0","12"
"Ellie","Seckold","26","Australia","AUS",,"Master Women","Australia","13","4","7","0","11"
"Asha","Sharma","20","Australia","AUS",,"Women","Australia","13","0","1","0","1"
"Alice","Si","9","Australia","AUS",,"Women","Australia","13","5","6","0","11"
"Jasjit","Singh","9","Australia","AUS",,"Mixed","Australia","12","9","2","0","11"
"Luke","Stephens","20","Australia","AUS",,"Master Men","Australia","11","5","5","0","10"
"Ben","Sutas","19","Australia","AUS",,"Men","Australia","14","15","13","0","28"
"Robert","Swan","42","Australia","AUS",,"Mixed","Australia","12","19","2","0","21"
"Ebony","Taylor","18","Australia","AUS",,"Women","Australia","13","3","4","0","7"
"Mary","Toney","21","Australia","AUS",,"Women","Australia","13","1","8","0","9"
"Martyn","Tonkin","6","Australia","AUS",,"Mixed","Australia","12","4","5","0","9"
"Elliot","Trotter","77","Australia","AUS",,"Men","Australia","14","21","16","0","37"
"Emma","Victory","4","Australia","AUS",,"Women","Australia","13","0","3","0","3"
"Rebecca","Wallbridge","87","Australia","AUS",,"Women","Australia","13","2","5","0","7"
"Jonathon","Warren-White","54","Australia","AUS",,"Men","Australia","14","0","11","0","11"
"Shani","Webb","7","Australia","AUS",,"Women","Australia","13","10","12","0","22"
"Shayna","Wolsky","13","Australia","AUS",,"Women","Australia","13","8","16","0","24"
